Scheme_Name,Category,Target_Beneficiaries,Eligibility_Criteria,Benefits_Provided,Loan_Amount_or_Subsidy,Interest_Rate,Documents_Required,Application_Process,Application_Mode,Official_Website_Link,State_or_Central,State_Name
PM-PRANAM,Welfare,States and Union Territories,Reducing chemical fertilizer use in Agriculture,Incentivizing adoption of bio-fertilizers and alternative technology,50% of subsidy savings as grant,NA,NA,Monitored by Ministry of Chemicals and Fertilizers,Online,fert.nic.in,Central,NA
Mahila Kisan Sashaktikaran Pariyojana (MKSP),Welfare,Women farmers,Women engaged in agriculture/livelihood activities,Technical training and financial support for sustainable agriculture,Project based funding,NA,"KYC, Land/SHG details",Implementation through DAY-NRLM agencies,Both,nrlm.gov.in,Central,NA
Coir Vikas Yojana,MSME,Coir producers and rural women,Coir production/processing units with Udyam Registration,"Skill upgradation, machinery support, and market assistance",Project based assistance,NA,"Udyam Certificate, ID Proof, Bank Details",Apply via Coir Board website or regional offices,Both,coirboard.gov.in,Central,NA
MSME Sustainable (ZED) Certification,MSME,All MSMEs,Registered with the UDYAM registration portal,Subsidy on certification cost; handholding and tech upgradation,"Joining reward of ? 10,000; up to 100% subsidy for women",NA,Udyam Registration Certificate,Apply through online ZED portal,Online,zed.msme.gov.in,Central,NA
MSME - Innovative,Startup,"MSMEs, Individuals, Students",Innovative ideas; Valid Udyam Registration,"Support for incubation, design intervention, and IPR protection",Up to ? 15 Lakh per idea; Up to ? 40 Lakh for design,NA,"Udyam Registration, Idea Pitch, KYC",Apply at the MIS portal (innovative.msme.gov.in),Online,innovative.msme.gov.in,Central,NA
Credit Guarantee Scheme for Subordinate Debt (CGSSD),Loan,Stressed MSMEs (NPA or near NPA),Operational MSMEs stressed/NPA as on 30.04.2020,Support to promoters for infusing equity into stressed units,50% of stake or ? 75 Lakh whichever is lower,90% Guarantee coverage,"Financial Statements, NPA Status, KYC",Approach eligible Banks for sub-debt facility,Offline,cgtmse.in,Central,NA
Self Reliant India (SRI) Fund,MSME,Viable MSMEs with positive growth,MSMEs with definite growth plans and listing potential,"Growth capital through equity, quasi-equity, and debt","Corpus of ? 10,000 Crore",NA (Equity based),"Business Plan, Financial Audits, Udyam Registration",Provision through Daughter Funds (AIFs),Online,nvcfl.co.in,Central,NA
RAMP Scheme,MSME,Individual MSMEs,Targeting performance enhancement via State agencies,"Access to market, finance, and technology upgradation",Enhancing outreach of existing MoMSME schemes,NA,"Business details, Udyam Certificate",Implementation through State agencies,Online,msme.gov.in,Central,NA
Pradhan Mantri Awas Yojana - Urban (PMAY-U),Housing,"EWS, LIG, and MIG urban families",No pucca house; specific income brackets (EWS < ? 3L),Interest subsidy on home loans; construction grants,Central assistance of ? 1.5 Lakh (BLC/AHP),Interest subsidy up to 6.5%,"Aadhaar, Income certificate, Bank details, Land papers",Online via PMAY-U portal; ULB assessment,Online,pmay-urban.gov.in,Central,NA
Skill Loan Scheme,Education,Students in vocational schools/ITIs,Admitted to recognized skill development course,Loans for technical education and skill training,"? 5,000 to ? 1,50,000",Bank Lending Rate,"Admission proof, Marksheets, ID/Address proof",Apply via banks or Vidya Lakshmi portal,Both,msde.gov.in,Central,NA
New Swarnima Scheme,Loan,Women from Backward Classes,Women entrepreneurs from backward backgrounds,Term loans for self-employment and independence,"Up to ? 2,00,000",5% per annum,"Caste Certificate, Income Certificate, KYC",Managed by NBCFDC through State Channelising Agencies,Offline,socialjustice.gov.in,Central,NA
