role,download_mb,upload_mb,session_duration_minutes,login_hour,violation_count,is_anomaly
Student,551.56,70.9,70.1,19,1,0
Student,498.46,55.18,26.7,16,0,0
Student,177.59,113.42,137.4,15,1,0
Student,82.88,43.18,152.7,12,0,0
Faculty,703.24,145.48,145.4,11,0,0
Staff,140.41,81.83,117.9,9,0,0
Faculty,938.75,154.84,195.0,19,1,0
Guest,108.89,36.43,15.4,16,0,0
Student,564.84,86.79,72.4,12,1,0
Staff,483.78,35.87,95.5,8,16,1
Faculty,67.61,120.84,49.2,16,0,0
Faculty,524.22,171.45,123.0,13,0,0
Staff,261.76,54.91,64.7,13,0,0
Staff,362.75,43.34,135.4,11,0,0
Guest,58.06,20.64,28.3,9,0,0
Student,193.18,67.8,62.4,9,0,0
Admin,58.63,306.96,138.3,6,2,0
Staff,357.02,39.24,113.3,8,0,0
Guest,116.93,23.71,15.3,10,1,0
Faculty,573.23,159.5,156.0,13,0,0
Student,378.35,62.65,6.6,17,1,0
Admin,653.42,249.14,245.6,19,0,0
Admin,827.2,531.6,190.2,11,1,0
Student,10.04,66.71,90.3,18,0,0
Faculty,792.13,144.75,142.6,19,0,0
Staff,437.35,77.97,120.8,16,0,0
Student,434.13,24.38,82.5,20,0,0
Guest,37.17,28.76,42.0,12,0,0
Student,122.1,138.33,92.8,8,0,0
Guest,194.28,43.55,10.0,14,0,0
Guest,166.28,13.81,5.0,9,1,0
Staff,342.33,83.0,124.8,15,0,0
Guest,88.07,1.0,37.9,15,0,0
Faculty,1032.83,79.37,145.0,14,0,0
Guest,83.63,14.15,31.5,9,0,0
Staff,325.37,71.71,139.9,14,0,0
Guest,76.81,24.04,8.8,19,0,0
Student,369.19,96.18,79.3,9,0,0
Faculty,177.76,96.72,139.9,8,0,0
Staff,330.22,17.86,164.9,12,0,0
Faculty,245.53,82.32,84.4,19,1,0
Staff,361.28,18.18,95.0,16,2,0
Student,335.69,37.69,103.0,11,1,0
Faculty,862.18,319.61,263.4,15,0,0
Faculty,601.56,109.35,81.3,16,0,0
Faculty,269.73,89.56,116.6,8,1,0
Guest,87.09,7.8,19.2,20,0,0
Student,288.06,94.45,143.5,17,0,0
Student,270.15,20.58,93.7,21,2,0
Admin,487.37,292.93,231.8,22,0,0
Student,126.38,151.64,64.5,15,0,0
Faculty,748.58,233.15,114.8,13,0,0
Student,337.65,114.72,26.5,12,0,0
Student,408.69,89.84,88.9,17,0,0
Student,521.69,71.43,16.1,16,0,0
Student,291.58,42.09,211.0,15,0,0
Student,120.38,18.25,116.1,21,0,0
Student,219.29,76.97,72.0,18,0,0
Faculty,608.16,110.78,126.6,17,0,0
Faculty,496.98,1748.01,57.8,8,0,1
Faculty,1044.81,146.42,95.7,18,1,0
Faculty,1328.8,33.43,156.6,10,0,0
Guest,62.92,4.48,5.0,20,1,0
Staff,234.05,26.32,72.6,13,0,0
Admin,444.49,1356.57,71.0,17,0,1
Guest,157.91,21.32,37.8,20,1,0
Faculty,951.98,168.96,173.7,17,1,0
Student,401.77,115.51,134.9,19,1,0
Student,10.0,86.0,103.0,19,0,0
Guest,59.49,26.06,41.3,17,0,0
Staff,292.06,47.77,121.0,8,1,0
Student,429.13,95.73,55.5,18,0,0
Staff,246.97,54.5,94.2,15,0,0
Staff,191.51,40.1,145.1,11,1,0
Guest,190.07,26.03,14.8,15,0,0
Student,510.78,74.68,85.2,22,1,0
Faculty,776.95,184.82,304.6,17,0,0
Student,172.48,39.03,86.2,12,2,0
Faculty,439.72,155.64,142.7,12,0,0
Staff,593.56,12.15,78.1,14,0,0
Student,478.74,64.52,120.6,22,0,0
Guest,206.29,33.13,5.0,16,0,0
Student,95.56,121.1,49.3,20,2,0
Staff,338.16,36.47,115.0,14,0,0
Staff,336.24,38.24,94.9,17,0,0
Staff,216.21,58.45,141.9,10,0,0
Faculty,574.35,328.38,85.9,15,0,0
Student,494.96,52.32,118.9,20,0,0
Guest,5.0,21.41,69.9,14,1,0
Admin,756.43,24.56,90.1,14,12,1
Student,673.76,82.24,109.8,21,0,0
Admin,135.3,150.59,203.4,8,0,0
Faculty,592.81,41.04,94.7,13,0,0
Guest,88.21,32.41,5.0,13,0,0
Faculty,88.68,152.62,112.9,9,0,0
Faculty,636.54,182.78,214.9,17,0,0
Faculty,401.29,189.46,173.5,12,0,0
Faculty,368.8,175.82,111.0,8,0,0
Student,576.68,48.93,133.7,11,2,0
Student,480.68,90.7,77.8,13,1,0
Staff,497.77,54.56,137.9,12,0,0
Guest,143.06,21.7,5.0,11,0,0
Admin,453.46,402.96,317.3,19,0,0
Guest,59.97,9.97,37.6,13,0,0
Guest,114.06,22.26,41.6,16,1,0
Admin,3086.4,655.51,467.1,4,8,1
Student,515.26,39.87,141.1,16,1,0
Student,581.65,91.94,105.2,9,0,0
Student,383.42,59.58,149.3,18,0,0
Faculty,50.0,277.24,202.5,9,1,0
Faculty,604.27,90.1,166.8,18,0,0
Staff,343.02,33.19,29.8,12,0,0
Student,252.75,72.58,124.0,10,2,0
Admin,558.58,5.0,156.5,16,0,0
Faculty,1035.73,112.66,232.1,14,0,0
Faculty,615.0,198.88,82.3,16,0,0
Staff,384.09,19.33,88.2,14,0,0
Student,414.08,32.95,58.9,16,1,0
Student,295.69,42.24,142.0,11,1,0
Faculty,197.21,71.35,196.6,11,0,0
Student,91.93,75.51,152.4,17,1,0
Staff,191.42,54.91,193.7,14,0,0
Student,440.27,97.58,17.6,7,0,0
Student,236.69,115.6,74.8,7,0,0
Student,659.41,34.39,72.7,11,0,0
Faculty,924.64,96.66,170.8,18,0,0
Faculty,554.38,88.68,107.4,8,0,0
Admin,738.21,98.1,48.1,13,9,1
Student,99.92,72.2,66.3,14,0,0
Faculty,809.11,132.56,251.6,7,1,0
Student,447.02,128.62,154.6,9,0,0
Admin,613.66,236.64,178.9,22,0,0
Staff,213.83,37.61,980.8,18,0,1
Student,509.8,109.04,52.8,14,0,0
Student,385.71,81.26,76.1,18,0,0
Student,16.68,29.62,37.5,12,0,0
Admin,3269.83,638.4,316.3,3,8,1
Faculty,897.85,118.25,186.8,19,0,0
Guest,192.61,23.85,5.0,12,0,0
Guest,95.68,38.9,27.6,12,0,0
Faculty,770.59,59.98,122.0,14,0,0
Faculty,1332.07,103.85,179.0,8,0,0
Student,457.46,104.83,107.5,9,2,0
Staff,1292.52,54.46,33.3,5,0,1
Staff,1410.27,72.01,99.6,4,0,1
Faculty,1543.79,13.26,135.7,13,0,0
Staff,330.38,86.86,130.9,9,0,0
Staff,279.1,64.15,163.5,10,0,0
Faculty,50.0,122.2,109.2,14,0,0
Student,356.55,71.62,105.6,16,1,0
Student,345.97,150.85,86.1,13,0,0
Staff,244.27,29.58,69.3,8,0,0
Faculty,440.08,151.11,180.7,12,0,0
Student,800.19,82.26,99.8,15,1,0
Faculty,467.06,363.74,164.2,15,0,0
Student,783.63,1.0,150.8,20,2,0
Student,577.8,136.94,129.8,9,0,0
Staff,378.95,141.32,111.4,12,0,0
Student,565.82,96.19,25.8,17,1,0
Admin,647.11,425.32,115.6,23,0,0
Guest,77.33,33.74,5.0,12,0,0
Student,517.05,82.57,63.0,20,0,0
Staff,363.2,77.02,42.7,12,0,0
Student,290.0,152.59,90.2,21,0,0
Student,670.52,176.9,71.0,18,0,0
Guest,72.28,1.0,69.5,12,0,0
Guest,79.95,38.74,43.8,17,0,0
Faculty,897.05,91.81,182.4,8,0,0
Faculty,653.07,281.23,149.2,14,1,0
Faculty,441.8,211.53,206.7,7,0,0
Admin,943.78,469.16,305.2,17,0,0
Faculty,539.47,117.75,212.5,15,0,0
Faculty,50.0,164.31,218.5,10,2,0
Staff,136.77,17.19,49.3,11,0,0
Student,383.31,62.4,5.0,14,0,0
Faculty,650.87,115.79,338.1,15,0,0
Student,639.2,92.92,149.8,10,0,0
Student,532.39,80.65,71.6,13,3,0
Student,556.19,29.16,33.5,12,0,0
Student,299.88,18.03,69.6,14,1,0
Faculty,938.73,114.23,177.0,13,1,0
Student,481.0,169.38,79.2,17,0,0
Guest,94.31,8.37,40.0,18,0,0
Student,389.06,126.63,48.5,12,0,0
Faculty,661.82,136.28,102.6,8,1,0
Student,439.72,99.58,79.6,7,0,0
Guest,144.38,55.4,22.9,16,1,0
Student,400.4,91.28,62.1,8,0,0
Guest,832.03,99.73,77.6,2,0,1
Staff,430.99,74.6,125.6,14,0,0
Staff,379.9,60.38,155.5,17,0,0
Faculty,792.82,228.52,110.1,19,0,0
Staff,129.96,130.67,118.8,15,1,0
Faculty,671.8,5.0,166.8,19,0,0
Staff,197.9,27.67,108.0,11,1,0
Faculty,578.16,67.72,167.0,14,0,0
Faculty,1530.23,216.76,243.0,7,0,0
Admin,161.25,75.21,1174.3,10,0,1
Faculty,329.56,265.38,150.0,15,1,0
Faculty,732.23,62.63,199.8,11,0,0
Faculty,865.56,5.0,251.4,19,0,0
Faculty,1457.29,69.88,56.3,4,0,1
Staff,197.65,79.43,86.7,10,0,0
Faculty,587.14,109.43,155.4,17,0,0
Guest,5.0,57.41,11.7,10,1,0
Admin,719.87,239.83,207.2,23,0,0
Student,131.22,96.81,111.8,14,0,0
Student,631.15,16.59,91.2,8,0,0
Student,270.52,69.04,30.9,17,0,0
Student,443.02,110.9,112.2,21,0,0
Staff,426.77,37.34,10.4,17,0,0
Faculty,464.21,126.81,191.9,11,0,0
Faculty,807.43,5.0,233.5,7,0,0
Staff,323.52,3032.06,43.2,13,0,1
Guest,34.56,8.86,31.5,14,0,0
Faculty,265.9,287.79,196.4,14,0,0
Staff,576.3,37.68,98.0,2,0,1
Student,10.0,70.24,77.3,10,0,0
Faculty,530.71,212.65,168.8,8,0,0
Faculty,488.84,71.13,136.7,14,0,0
Admin,421.75,5.0,261.5,16,0,0
Staff,1316.56,97.08,85.5,1,0,1
Faculty,805.58,187.7,99.9,13,0,0
Student,982.85,8.92,103.0,22,0,0
Faculty,680.26,155.37,156.8,16,0,0
Faculty,927.51,160.54,102.4,7,0,0
Student,13.69,90.14,117.8,13,0,0
Staff,7271.66,60.55,58.3,15,0,1
Staff,292.89,38.12,103.4,17,0,0
Staff,714.49,68.55,104.8,9,0,0
Staff,286.42,29.62,125.1,11,1,0
Student,767.38,32.32,151.1,13,0,0
Staff,87.19,73.62,169.3,15,0,0
Faculty,768.06,231.03,205.8,8,1,0
Admin,698.01,487.47,138.9,10,0,0
Student,335.89,111.5,88.2,13,0,0
Faculty,556.93,273.9,157.5,19,0,0
Faculty,526.24,42.54,277.5,14,0,0
Student,637.67,67.52,119.3,10,2,0
Faculty,563.46,130.84,131.8,13,0,0
Student,243.77,115.99,122.5,19,1,0
Student,342.22,10.45,47.8,22,0,0
Student,625.39,118.99,61.7,8,1,0
Student,254.62,131.97,78.7,19,0,0
Student,208.31,136.34,5.0,15,1,0
Admin,170.91,22.98,740.3,15,0,1
Staff,55.37,93.65,116.8,12,0,0
Student,596.58,1.0,56.7,7,0,0
Admin,1010.24,99.75,223.7,19,0,0
Admin,1507.89,1431.5,506.8,2,7,1
Guest,151.54,23.12,5.0,9,1,0
Student,597.23,101.54,89.5,20,0,0
Faculty,222.81,17.88,205.5,14,1,0
Student,474.35,116.98,78.1,14,0,0
Student,245.1,55.24,63.7,11,0,0
Faculty,607.29,136.17,237.9,11,1,0
Guest,44.3,27.29,5.0,16,1,0
Student,452.69,83.26,52.5,20,2,0
Student,238.74,25.59,105.6,20,0,0
Guest,201.25,36.54,8.8,16,0,0
Staff,212.13,87.48,115.6,17,0,0
Faculty,249.8,67.97,147.7,14,0,0
Faculty,189.17,34.69,246.6,11,0,0
Faculty,802.6,98.2,278.7,9,0,0
Student,310.77,102.33,96.1,19,1,0
Admin,277.4,5.0,172.1,9,0,0
Faculty,654.65,147.49,93.4,16,0,0
Student,200.43,76.61,26.0,14,0,0
Faculty,586.84,5.0,112.1,7,0,0
Student,671.62,100.32,97.8,10,2,0
Student,656.19,36.98,53.1,8,2,0
Staff,139.17,59.96,140.4,17,0,0
Faculty,609.91,226.7,253.9,14,0,0
Faculty,726.88,229.68,143.7,19,0,0
Student,196.05,116.49,61.1,21,1,0
Student,190.56,104.43,62.5,12,0,0
Student,517.97,178.77,65.1,7,1,0
Student,603.26,169.27,119.1,16,1,0
Admin,440.1,69.45,340.6,14,0,0
Guest,376.93,38.47,64.1,16,18,1
Student,447.83,100.93,126.1,13,1,0
Staff,210.94,87.73,121.4,12,0,0
Student,310.59,88.42,153.4,15,0,0
Admin,481.0,145.14,311.9,15,0,0
Staff,381.07,76.81,109.7,10,0,0
Student,763.31,44.75,98.7,9,0,0
Faculty,1043.8,49.85,164.2,13,0,0
Student,229.46,90.38,100.3,18,0,0
Faculty,622.61,126.04,138.2,17,0,0
Staff,252.52,44.7,164.3,13,0,0
Staff,284.12,45.83,67.0,11,0,0
Faculty,1108.27,18.54,216.7,8,0,0
Student,268.3,2697.74,105.4,8,0,1
Faculty,561.74,201.87,90.5,11,0,0
Student,454.77,67.97,15.9,18,0,0
Student,150.25,93.34,97.4,11,0,0
Faculty,918.91,23.03,181.5,10,0,0
Guest,162.94,8.59,41.4,11,0,0
Staff,1322.49,41.47,65.1,2,0,1
Admin,536.37,5.0,193.6,20,0,0
Faculty,297.96,3438.41,105.4,14,0,1
Student,335.2,71.84,70.3,9,0,0
Guest,3186.67,25.97,102.1,13,0,1
Guest,64.76,20.16,47.6,17,1,0
Student,10.0,92.09,85.5,14,1,0
Guest,69.19,1.62,33.4,10,1,0
Staff,355.03,70.89,147.9,16,0,0
Student,923.55,60.37,117.2,11,12,1
Guest,128.86,27.62,42.1,11,0,0
Faculty,410.39,154.28,54.9,18,0,0
Student,906.38,139.2,134.8,13,0,0
Admin,596.25,235.79,326.2,23,0,0
Staff,369.12,34.02,54.1,9,0,0
Faculty,2471.08,811.6,435.7,3,6,1
Guest,77.71,36.24,19.2,11,0,0
Faculty,669.2,293.86,251.5,9,0,0
Faculty,596.45,5.0,142.7,17,0,0
Student,673.48,82.07,147.2,16,1,0
Faculty,576.5,5.0,221.5,11,1,0
Guest,88.72,16.48,30.2,19,0,0
Faculty,615.59,130.25,209.3,15,0,0
Student,416.54,136.41,102.4,7,2,0
Staff,342.03,85.39,102.1,9,0,0
Faculty,1029.76,200.3,282.6,12,0,0
Student,626.02,104.56,113.9,12,0,0
Student,420.03,68.64,167.0,20,0,0
Guest,73.0,3.86,18.9,14,0,0
Faculty,336.13,140.05,191.8,17,0,0
Admin,163.57,419.35,264.7,14,0,0
Staff,437.85,38.04,117.5,13,0,0
Admin,455.58,115.48,164.6,6,0,0
Student,315.73,119.14,68.5,22,0,0
Student,191.22,61.13,65.8,12,1,0
Student,29.52,42.19,144.1,11,0,0
Faculty,499.0,240.82,226.4,19,0,0
Student,475.21,20.6,137.6,20,0,0
Faculty,1632.63,817.84,373.5,23,4,1
Admin,745.63,214.19,262.8,19,1,0
Staff,236.3,126.42,101.9,11,0,0
Faculty,925.96,51.58,117.0,10,0,0
Faculty,683.52,240.62,255.9,8,0,0
Admin,10.0,41.55,250.2,16,0,0
Admin,228.06,192.37,171.5,17,0,0
Staff,132.36,79.67,76.6,16,0,0
Guest,9.56,5.22,12.8,16,1,0
Student,575.61,25.08,103.1,13,0,0
Faculty,855.73,134.03,111.1,15,0,0
Staff,204.04,43.59,118.0,11,0,0
Student,568.84,125.2,56.8,22,1,0
Student,246.74,64.01,159.7,12,1,0
Student,495.94,92.82,130.8,9,1,0
Staff,281.85,72.98,122.5,12,0,0
Faculty,889.24,208.15,251.4,19,0,0
Faculty,432.54,90.72,133.1,15,0,0
Guest,144.66,31.63,36.5,13,0,0
Guest,153.54,24.72,52.6,10,0,0
Staff,454.79,7.96,127.2,10,0,0
Admin,6012.41,91.33,88.7,12,0,1
Faculty,622.12,227.58,232.5,11,0,0
Student,362.15,201.27,80.9,20,0,0
Admin,408.51,384.41,135.5,16,0,0
Student,579.47,79.48,77.3,14,1,0
Student,519.06,106.65,110.3,10,1,0
Student,266.99,117.5,58.6,15,0,0
Faculty,737.85,122.83,126.6,19,0,0
Faculty,782.14,149.43,190.2,15,2,0
Guest,17.36,42.08,33.0,16,0,0
Guest,4843.11,93.9,45.6,9,0,1
Student,479.45,158.01,63.3,10,0,0
Faculty,1221.89,111.42,240.0,11,0,0
Student,10.0,28.88,165.4,9,0,0
Student,611.08,48.62,36.2,0,0,1
Guest,73.92,25.54,20.1,19,0,0
Guest,162.7,27.08,41.4,11,0,0
Student,166.08,27.92,159.1,8,1,0
Student,259.79,144.06,120.0,8,0,0
Staff,5529.6,56.8,119.1,17,0,1
Student,436.29,96.61,57.0,14,0,0
Student,387.67,92.36,171.3,10,1,0
Admin,519.73,225.55,274.8,13,0,0
Student,528.83,50.64,102.7,20,1,0
Admin,581.15,63.65,233.5,11,0,0
Staff,394.34,89.28,113.8,9,0,0
Staff,293.51,76.72,115.4,15,0,0
Student,481.74,101.71,89.4,13,0,0
Student,291.6,52.24,17.1,22,0,0
Student,684.33,63.95,60.0,15,0,0
Student,287.85,79.11,27.5,9,0,0
Student,1768.34,1070.48,542.5,2,9,1
Staff,177.65,64.97,117.8,13,0,0
Guest,5.0,19.2,5.0,20,0,0
Student,10.0,12.71,98.4,7,0,0
Staff,296.71,69.13,90.5,16,0,0
Faculty,645.25,196.04,95.4,19,0,0
Guest,1889.68,985.97,313.2,2,6,1
Student,216.59,82.6,106.8,13,0,0
Student,435.36,43.79,62.1,15,0,0
Student,411.82,54.36,157.8,22,0,0
Admin,601.96,247.41,232.8,8,0,0
Guest,137.97,8.25,91.2,13,0,0
Student,284.53,1077.45,83.4,8,0,1
Staff,299.05,46.12,161.5,16,0,0
Staff,250.59,49.09,74.0,11,0,0
Guest,268.57,13.23,31.4,11,0,0
Student,506.24,84.55,97.4,20,0,0
Guest,116.85,20.69,43.9,12,0,0
Faculty,567.97,308.03,88.4,9,0,0
Student,90.43,69.39,71.5,7,1,0
Student,570.17,109.03,121.4,15,0,0
Guest,4662.08,32.36,66.1,15,0,1
Staff,160.37,3716.78,108.6,12,0,1
Guest,18.89,2.01,9.2,20,0,0
Student,335.95,150.38,53.9,18,0,0
Student,520.96,123.23,78.2,19,2,0
Faculty,891.98,267.87,191.0,10,0,0
Student,561.14,107.1,51.8,16,0,0
Staff,287.69,109.26,132.5,10,0,0
Guest,5.0,16.77,65.6,20,1,0
Student,231.9,80.87,155.1,12,1,0
Student,246.88,117.09,160.8,12,1,0
Staff,244.49,89.9,80.3,11,0,0
Staff,306.89,26.48,136.6,12,0,0
Admin,456.79,243.51,386.1,16,0,0
Student,420.36,23.49,37.4,21,0,0
Admin,431.21,5.0,127.0,23,0,0
Staff,358.22,52.81,134.6,10,0,0
Staff,301.43,119.44,143.2,12,0,0
Staff,162.57,24.88,1150.5,14,0,1
Staff,448.29,37.33,122.2,9,0,0
Admin,313.94,222.23,244.9,12,0,0
Student,17.24,121.53,68.2,12,0,0
Staff,288.02,77.16,70.8,17,0,0
Student,770.08,65.93,121.0,8,0,0
Student,346.19,137.49,116.4,10,0,0
Student,39.43,49.91,53.6,18,0,0
Student,560.24,85.95,141.5,10,2,0
Student,229.57,169.17,129.8,22,1,0
Admin,3973.41,20.19,77.2,9,0,1
Student,451.53,113.82,27.0,19,0,0
Staff,1239.54,75.1,99.5,3,0,1
